,BSpace Course Name,BSpace Course Id,QuizName,﻿QuizId,QuizAttemptNumber,QuestionId,Question,QuestionType,InputUserAnswer,Score,NetId,Comment left on User Response,AnswerKey,isQuery,Database,full_score,feedback
2345,"Databases for Business Analytics, Spring'23","251,685",Assignment 3: Joins,"295,367",1,"5,119,721","List all the track names, the corresponding album name, and the corresponding artist name",Long Answer Question,"select T.track_name, R.artist_name, A.album_name from track T
Inner join album A
Inner Join artist R
where A.artist_id=R.artist_id and A.artist_id = T.artist_id and T.album_id = A.album_id;",1.0,zz3543,,"SELECT&#160;track_name,&#160;artist_name,&#160;album_name
FROM&#160;track&#160;T
&#160;&#160;JOIN&#160;artist&#160;R&#160;ON&#160;T.artist_id&#160;=&#160;R.artist_id
&#160;&#160;JOIN&#160;album&#160;A&#160;ON&#160;A.album_id&#160;=&#160;T.album_id&#160;AND&#160;A.artist_id&#160;=&#160;T.artist_id",True,music,1.0,
2346,"Databases for Business Analytics, Spring'23","251,685",Assignment 3: Joins,"295,367",1,"5,119,720",List the tracks for the album&#160;Second Coming,Long Answer Question,"select T.track_id, T.track_name, A.artist_id, A.album_id,T.time  from track T
Inner Join album A ON
T.album_id=A.album_id AND T.artist_id=A.artist_id
where A.album_name = 'Second Coming';",1.0,zz3543,,"SELECT&#160;T.*
FROM&#160;track&#160;T&#160;
&#160; &#160; &#160;JOIN album A ON A.artist_id = T.artist_id AND A.album_id = T.album_id
WHERE&#160;A.album_name&#160;=&#160;&#39;Second&#160;Coming&#39;",True,music,1.0,
2347,"Databases for Business Analytics, Spring'23","251,685",Assignment 3: Joins,"295,367",1,"5,119,719",List all the album names by the band New Order,Long Answer Question,"select * from artist A
Inner join
album M ON A.artist_id=M.artist_id
where artist_name = 'New Order';",1.0,zz3543,,"SELECT R.artist_name, A.*
FROM&#160;artist&#160;R&#160;JOIN&#160;album&#160;A&#160;ON&#160;A.artist_id&#160;=&#160;R.artist_id
WHERE&#160;R.artist_name&#160;=&#160;&#39;New&#160;Order&#39;",True,music,1.0,
2348,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,680","Find all the tracks that include the word &quot;Love&quot; anywhere in the title. It is fine to include tracks where love is part of a bigger word (e.g., lovebird).",Long Answer Question,"SELECT * FROM track
WHERE track_name LIKE '%LOVE%';",1.0,zz3543,,"SELECT&#160;*
FROM&#160;track
WHERE track_name LIKE &#39;%love%&#39;&#160;",True,music,1.0,
2349,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,679","List all the tracts for the artists with ids 1, 3, and 5. Show two variations of the query:&#160; one using the OR Boolean condition and one using the IN operation.",Long Answer Question,"SELECT * FROM track
WHERE artist_id = 1 OR artist_id = 3 OR artist_id =5;

SELECT * FROM track
WHERE artist_id IN (1,3,5);",1.0,zz3543,,"
SELECT&#160;*
FROM&#160;track
WHERE&#160;artist_id&#160;=&#160;1&#160;OR&#160;artist_id&#160;=&#160;3&#160;OR&#160;artist_id&#160;=&#160;5



SELECT&#160;*
FROM&#160;track
WHERE&#160;artist_id&#160;IN&#160;(1,3,5)


",True,music,1.0,
2350,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,678","Find all albums with a title that begins with a character greater than E (not inclusive of albums that start with E) but less than S (again, not inclusive of albums that start with S).",Long Answer Question,"SELECT * FROM album
WHERE album_name < 'S%' and album_name > 'E%';",1.0,zz3543,,"SELECT&#160;*
FROM&#160;album
WHERE&#160;album_name&#160;&gt;=&#160;&#39;F&#39;&#160;AND&#160;&#160;album_name&#160;&lt;&#160;&#39;S&#39;",True,music,1.0,
2351,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,677",Find the tracks with names that are earlier alphabetically than (is less than) M. Note that inequality queries can be used with text and not only with numbers.,Long Answer Question,"SELECT * FROM track
WHERE track_name < 'M%';",1.0,zz3543,,"SELECT&#160;*
FROM&#160;track
WHERE&#160;track_name&#160;&lt;&#160;&#39;M&#39;",True,music,1.0,
2352,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,676","Find the tracks for the artist with id 3, from the artist&#39;s album with id 2.",Long Answer Question,"SELECT * FROM track
WHERE artist_id = 3 AND album_id = 2;",1.0,zz3543,,"
SELECT&#160;*
FROM&#160;track
WHERE&#160;artist_id&#160;=3&#160;and&#160;album_id&#160;=2&#160;
",True,music,1.0,
2353,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,675","Using the id of Rolling Stones from Question C.2, list all the albums of The Rolling Stones.",Long Answer Question,"SELECT * from album
WHERE artist_id = 4;",1.0,zz3543,,"SELECT&#160;*
FROM&#160;album
WHERE&#160;artist_id&#160;=&#160;4",True,music,1.0,
2354,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,674",Show the entry for the artist named The Rolling Stones.,Long Answer Question,"SELECT * FROM artist
WHERE artist_name = 'The Rolling Stones';",1.0,zz3543,,"SELECT&#160;*
FROM&#160;artist
WHERE&#160;artist_name&#160;=&#160;&#39;The&#160;Rolling&#160;Stones&#39;",True,music,1.0,
2355,"Databases for Business Analytics, Spring'23","251,685",Assignment 2C: Filtering Queries,"295,343",1,"5,119,673",Show the entry for the artist with id equal to 5.,Long Answer Question,"SELECT * FROM artist
WHERE artist_id = 5;",1.0,zz3543,,"SELECT&#160;*
FROM&#160;artist
WHERE&#160;artist_id&#160;=&#160;5",True,music,1.0,
2356,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,651",List the ten shortest tracks in terms of playing time.,Long Answer Question,"SELECT * FROM track
ORDER BY time
LIMIT 10;",1.0,zz3543,,"SELECT&#160;*
FROM&#160;track
ORDER&#160;BY&#160;time
LIMIT&#160;10",True,music,1.0,
2357,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,650","Show all the album names and the corresponding artist id, but do not show the album_id. Rename the album_name attribute to album_title.",Long Answer Question,"SELECT artist_id, album_name as album_title FROM album;",1.0,zz3543,,"SELECT&#160;artist_id,&#160;album_name&#160;AS&#160;album_title
FROM&#160;album",True,music,1.0,
2358,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,649","List all the names of the artists, without the artist ids, sorted alphabetically.",Long Answer Question,"SELECT artist_name FROM artist
ORDER BY artist_name;",1.0,zz3543,,"SELECT&#160;artist_name
FROM&#160;artist
ORDER&#160;BY&#160;artist_name",True,music,1.0,
2359,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,648",Show all the tracks.,Long Answer Question,SELECT * FROM track;,1.0,zz3543,,"SELECT&#160;*&#160;
FROM&#160;track",True,music,1.0,
2360,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,647",Show all the albums.,Long Answer Question,SELECT * FROM album;,1.0,zz3543,,"SELECT&#160;*&#160;
FROM&#160;album",True,music,1.0,
2361,"Databases for Business Analytics, Spring'23","251,685",Assignment 2B: Selection Queries,"295,300",1,"5,119,646","Show all the artists.

Show all the albums.
Show all the tracks.
List all the names of the artists, without the artist ids, sorted alphabetically.
Show all the album names and the corresponding artist id, but do not show the album_id. Rename the album_name attribute to album_title.
List the ten shortest tracks in terms of playing time.
",Long Answer Question,"# I assume this question is only asking the command for Show all the artist.
# I will answer the rest questions in the following question spaces.



SELECT * FROM artist;",1.0,zz3543,,"SELECT&#160;*&#160;
FROM&#160;artist",True,music,1.0,
2369,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,713","For each order, show the customerID who placed the order, and list the number of products in the order, the total units in the order (each order may contain multiple units of a product as reported in the &quot;Quantity&quot; field or OrderDetails), and the total order price for all the products (using the Quantity and UnitPrice fields in the OrderDetails table; ignore the Discount field).&#160;
Sort the results by decreasing total price and display only orders where the total price is above 10,000.",Long Answer Question,"SELECT O.CustomerID  , COUNT(D.ProductID) AS numberofproducts    
 , COUNT(D.Quantity) AS quantityofunits     
, D.Quantity*D.UnitPrice AS orderprice 
FROM Orders O 
JOIN OrderDetails D ON D.OrderID = O.OrderID 
GROUP BY CustomerID 
ORDER BY orderprice>'10,000';
",6.0,kac7704,"-2pts ""for each order"" not ""for each customer""
-1 SUM(D.Quantity * D.UnitPrice)
-1 SUM(D.Quantity)&nbsp;
SELECT&nbsp;O.OrderID, O.CustomerID
&nbsp; &nbsp; , SUM(D.Quantity * D.UnitPrice) AS total_price
&nbsp; &nbsp; , COUNT(DISTINCT D.ProductID) AS num_products
&nbsp; &nbsp; , SUM(D.Quantity) AS total_units
FROM Orders O JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_price &gt; 10000
ORDER BY total_price DESC","SELECT O.OrderID, O.CustomerID
&#160; &#160; , SUM(D.Quantity * D.UnitPrice) AS total_price
&#160; &#160; , COUNT(DISTINCT D.ProductID) AS num_products
&#160; &#160; , SUM(D.Quantity) AS total_units
FROM Orders O JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_price &gt; 10000
ORDER BY total_price DESC",True,"['northwind', 'flights']",10.0,"The feedback from the TA was -2pts ""for each order"" not ""for each customer""
-1 SUM(D.Quantity * D.UnitPrice)
-1 SUM(D.Quantity)&nbsp;
SELECT&nbsp;O.OrderID, O.CustomerID
&nbsp; &nbsp; , SUM(D.Quantity * D.UnitPrice) AS total_price
&nbsp; &nbsp; , COUNT(DISTINCT D.ProductID) AS num_products
&nbsp; &nbsp; , SUM(D.Quantity) AS total_units
FROM Orders O JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_price &gt; 10000
ORDER BY total_price DESC"
2370,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,711","We want to identify the ship countries with the highest average freight charges. Return the top-three ship countries with the highest average freight overall, in descending order by average freight. You only need the Orders table.",Long Answer Question,"USE northwind;
SELECT AVG(Freight) AS average_freight, ShipCountry
FROM Orders
GROUP BY ShipCountry
ORDER BY average_freight DESC
LIMIT 3;


Answer:
'184.78750000', 'Austria'
'145.01263158', 'Ireland'
'112.87942623', 'USA'
",7.5,kac7704,,"SELECT ShipCountry, ROUND(AVG(Freight),2) AS AvgFreight
FROM &#160;Orders
GROUP BY ShipCountry
ORDER BY AvgFreight DESC
LIMIT 3",True,"['northwind', 'flights']",7.5,
2371,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,710",For every customer in the database list the number of orders they have placed.,Long Answer Question,"USE northwind;
SELECT O.CustomerID, COUNT(OrderID)
FROM Orders O
JOIN Customers C ON O.CustomerID = C.CustomerID
GROUP BY O.CustomerID;",8.0,kac7704,,"SELECT C.CustomerID, COUNT(O.OrderID) AS orders
FROM Customers C
&#160; &#160; &#160; &#160; &#160; &#160; LEFT JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID&#160;",True,"['northwind', 'flights']",10.0,
2372,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,709",Show the date/time of the first order ever date in the Orders table,Long Answer Question,"USE northwind;
SELECT OrderDate
FROM Orders
ORDER BY OrderDate ASC;


COULD ALSO USE:
SELECT MIN(OrderDate)
FROM Orders

Answer:'2014-07-04 08:00:00'
",7.5,kac7704,First query needs a LIMIT 1,"SELECT MIN(OrderDate) AS earliestOrderDate
FROM Orders",True,"['northwind', 'flights']",7.5,The feedback from the TA was First query needs a LIMIT 1
2373,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,708","We would like to know, for each product, the associated Supplier. Show the ProductID, ProductName, and the CompanyName of the Supplier. Sort the results by ProductID.",Long Answer Question,"USE northwind;
SELECT ProductName, ProductID, CompanyName
FROM Products P
	JOIN Suppliers S ON P.SupplierID = S.SupplierID
ORDER BY ProductID;",7.5,kac7704,,"SELECT P.ProductID, P.ProductName, S.CompanyName
FROM Products P JOIN Suppliers S ON P.SupplierID = S.SupplierID
ORDER BY P.ProductID",True,"['northwind', 'flights']",7.5,
2374,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,707","From the Products table, we want to see the ProductID and ProductName for those products where the ProductName includes the string &quot;queso&quot;",Long Answer Question,"USE northwind;
SELECT ProductName, ProductID
FROM Products
WHERE ProductName LIKE ""%queso%"";",5.0,kac7704,,"SELECT ProductID, ProductName
FROM Products&#160;
WHERE ProductName LIKE &#39;%queso%&#39;",True,"['northwind', 'flights']",5.0,
2375,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,706","We would like to see just the FirstName, LastName, and HireDate of all the employees with the title of Sales Representative who are also in the United States",Long Answer Question,"USE northwind;
SELECT LastName, Firstname, Title, HireDate
FROM Employees
WHERE Title = 'Sales Representative' AND Country = 'USA';",5.0,kac7704,,"SELECT FirstName, LastName, HireDate
FROM Employees&#160;
WHERE Title = &#39;Sales Representative&#39; AND Country = &#39;USA&#39;",True,"['northwind', 'flights']",5.0,
2376,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,705","We would like to see, for each shipper, the number of orders they have handled and the number of distinct days that they came to the warehouse to pick the orders (according to the the ShippedDate column in Orders). Show the ShipperID, the CompanyName of the shipper, the number of orders the shipper handled, and the number of distinct days that each shipper came to the warehouse.",Long Answer Question,"USE northwind;
SELECT S.ShipperID, C.CompanyName
	, COUNT(DISTINCT O.ShippedDate)
    , COUNT(OrderID)
FROM Orders O
JOIN Customers C ON O.CustomerID = C.CustomerID
JOIN Shippers S ON C.CompanyName = S.CompanyName
GROUP BY S.ShipperID;",3.0,kac7704,"SELECT S.ShipperID, S.CompanyName
&nbsp; &nbsp; , COUNT(O.OrderID) AS orders
&nbsp; &nbsp; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&nbsp;
&nbsp; &nbsp; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID;","SELECT S.ShipperID, S.CompanyName
&#160; &#160; , COUNT(O.OrderID) AS orders
&#160; &#160; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&#160;
&#160; &#160; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID;",True,"['northwind', 'flights']",7.5,"The feedback from the TA was SELECT S.ShipperID, S.CompanyName
&nbsp; &nbsp; , COUNT(O.OrderID) AS orders
&nbsp; &nbsp; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&nbsp;
&nbsp; &nbsp; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID;"
2387,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,729","Hard question. Requires use of subqueries and CASE WHEN.
We want to create groups of customers based on their total amount spent after discounts, in 2016. We will create three groups:

Low, for customers spending between 0 and 1000
Medium, for customers spending between 1000 and 5000,
High, for customers spending above 5000

The output should list the CustomerID, the CompanyName, the total amount spent before discounts, the total discount applied, and the grouping
You will need to use the results from the question &quot;Total amount spent per customer in 2016&quot; as a subquery, and then use the CASE WHEN structure to define the three groups. Do not worry about edge cases for the three groups (ie for amounts spent equal to 1000 and 5000).",Long Answer Question,"WITH CustomerSpendIn2016 AS (
    SELECT
        C.CustomerID,
        C.CompanyName,
        IFNULL(
            SUM(D.Quantity * D.UnitPrice),
            0
        ) AS total_price,
        IFNULL(
            SUM(D.Quantity * D.UnitPrice * D.Discount),
            0
        ) AS total_discount
    FROM Customers C
        LEFT JOIN Orders O
            ON C.CustomerID = O.CustomerID
            AND YEAR(OrderDate) = 2016
        LEFT JOIN OrderDetails D
            ON O.OrderID = D.OrderID
    GROUP BY C.CustomerID
    ORDER BY C.CustomerID
)
SELECT
    CS.*,
    (CASE
        WHEN (CS.total_price - CS.total_discount) BETWEEN 0 AND 1000
            THEN 'Low'
        WHEN (CS.total_price - CS.total_discount) BETWEEN 1000 AND 5000
            THEN 'Medium'
        WHEN (CS.total_price - CS.total_discount) > 5000
            THEN 'High'
        END
    ) AS spend_group
FROM CustomerSpendIn2016 CS;",10.0,cc5816,,"WITH total_spent AS (
SELECT C.CustomerID, C.CompanyName
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice ),0) AS total_price
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice * D.Discount ),0) AS total_discount
FROM&#160;
&#160; &#160; Customers C&#160;
&#160; &#160; LEFT JOIN Orders O ON C.CustomerID = O.CustomerID AND YEAR(O.OrderDate) = 2016
&#160; &#160; LEFT JOIN OrderDetails D ON O.OrderID = D.OrderID &#160;
GROUP BY C.CustomerID
)
SELECT T.*,&#160;
&#160; &#160; CASE&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 0 AND 1000 THEN &#39;Low&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 1000 AND 5000 THEN &#39;Medium&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount &gt;= 5000 THEN &#39;High&#39;&#160;
&#160; &#160; END AS TargetGroup
FROM total_spent T
ORDER BY T.total_price-T.total_discount",True,"['northwind', 'flights']",10.0,
2389,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,713","For each order, show the customerID who placed the order, and list the number of products in the order, the total units in the order (each order may contain multiple units of a product as reported in the &quot;Quantity&quot; field or OrderDetails), and the total order price for all the products (using the Quantity and UnitPrice fields in the OrderDetails table; ignore the Discount field).&#160;
Sort the results by decreasing total price and display only orders where the total price is above 10,000.",Long Answer Question,"SELECT
    O.*,
    C.CustomerID,
    COUNT(D.ProductID) AS product_count,
    SUM(D.Quantity) AS total_units,
    SUM(D.Quantity * D.UnitPrice) AS total_order_price
FROM Orders O
    LEFT JOIN Customers C ON O.CustomerID = C.CustomerID
    LEFT JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_order_price > 10000
ORDER BY total_order_price DESC;",10.0,cc5816,,"SELECT O.OrderID, O.CustomerID
&#160; &#160; , SUM(D.Quantity * D.UnitPrice) AS total_price
&#160; &#160; , COUNT(DISTINCT D.ProductID) AS num_products
&#160; &#160; , SUM(D.Quantity) AS total_units
FROM Orders O JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_price &gt; 10000
ORDER BY total_price DESC",True,"['northwind', 'flights']",10.0,
2390,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,711","We want to identify the ship countries with the highest average freight charges. Return the top-three ship countries with the highest average freight overall, in descending order by average freight. You only need the Orders table.",Long Answer Question,"SELECT ShipCountry
FROM Orders
GROUP BY ShipCountry
ORDER BY AVG(Freight) DESC
LIMIT 3;",7.5,cc5816,,"SELECT ShipCountry, ROUND(AVG(Freight),2) AS AvgFreight
FROM &#160;Orders
GROUP BY ShipCountry
ORDER BY AvgFreight DESC
LIMIT 3",True,"['northwind', 'flights']",7.5,
2391,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,710",For every customer in the database list the number of orders they have placed.,Long Answer Question,"SELECT C.*, COUNT(O.OrderID)
FROM Customers C
    LEFT JOIN Orders O ON C.CustomerID = O.CustomerID
GROUP BY C.CustomerID;",10.0,cc5816,,"SELECT C.CustomerID, COUNT(O.OrderID) AS orders
FROM Customers C
&#160; &#160; &#160; &#160; &#160; &#160; LEFT JOIN Orders O ON O.CustomerID = C.CustomerID
GROUP BY C.CustomerID&#160;",True,"['northwind', 'flights']",10.0,
2392,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,709",Show the date/time of the first order ever date in the Orders table,Long Answer Question,"SELECT MIN(OrderDate)
FROM Orders;",7.5,cc5816,,"SELECT MIN(OrderDate) AS earliestOrderDate
FROM Orders",True,"['northwind', 'flights']",7.5,
2393,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,708","We would like to know, for each product, the associated Supplier. Show the ProductID, ProductName, and the CompanyName of the Supplier. Sort the results by ProductID.",Long Answer Question,"SELECT P.ProductID, P.ProductName, S.CompanyName
FROM Products P
    LEFT JOIN Suppliers S ON P.SupplierID = S.SupplierID
ORDER BY ProductID;",7.5,cc5816,,"SELECT P.ProductID, P.ProductName, S.CompanyName
FROM Products P JOIN Suppliers S ON P.SupplierID = S.SupplierID
ORDER BY P.ProductID",True,"['northwind', 'flights']",7.5,
2394,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,707","From the Products table, we want to see the ProductID and ProductName for those products where the ProductName includes the string &quot;queso&quot;",Long Answer Question,"SELECT ProductID, ProductName
FROM Products
WHERE ProductName LIKE '%queso%';",5.0,cc5816,,"SELECT ProductID, ProductName
FROM Products&#160;
WHERE ProductName LIKE &#39;%queso%&#39;",True,"['northwind', 'flights']",5.0,
2395,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,706","We would like to see just the FirstName, LastName, and HireDate of all the employees with the title of Sales Representative who are also in the United States",Long Answer Question,"SELECT FirstName, LastName, HireDate
FROM Employees
WHERE Title = 'Sales Representative'
    AND Country = 'USA';",5.0,cc5816,,"SELECT FirstName, LastName, HireDate
FROM Employees&#160;
WHERE Title = &#39;Sales Representative&#39; AND Country = &#39;USA&#39;",True,"['northwind', 'flights']",5.0,
2396,"Databases for Business Analytics, Winter 2023","251,683",Final Exam,"283,453",1,"4,969,705","We would like to see, for each shipper, the number of orders they have handled and the number of distinct days that they came to the warehouse to pick the orders (according to the the ShippedDate column in Orders). Show the ShipperID, the CompanyName of the shipper, the number of orders the shipper handled, and the number of distinct days that each shipper came to the warehouse.",Long Answer Question,"SELECT
    S.ShipperID,
    S.CompanyName,
    COUNT(O.OrderID),
    COUNT(DISTINCT DATE(ShippedDate))
FROM Shippers S
    LEFT JOIN Orders O ON S.ShipperID = O.ShipVia
GROUP BY S.ShipperID;",7.5,cc5816,,"SELECT S.ShipperID, S.CompanyName
&#160; &#160; , COUNT(O.OrderID) AS orders
&#160; &#160; , COUNT(DISTINCT O.ShippedDate ) AS dates
FROM Orders O&#160;
&#160; &#160; JOIN Shippers S ON O.ShipVia = S.ShipperID
GROUP BY S.ShipperID;",True,"['northwind', 'flights']",7.5,
2407,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,729","Hard question. Requires use of subqueries and CASE WHEN.
We want to create groups of customers based on their total amount spent after discounts, in 2016. We will create three groups:

Low, for customers spending between 0 and 1000
Medium, for customers spending between 1000 and 5000,
High, for customers spending above 5000

The output should list the CustomerID, the CompanyName, the total amount spent before discounts, the total discount applied, and the grouping
You will need to use the results from the question &quot;Total amount spent per customer in 2016&quot; as a subquery, and then use the CASE WHEN structure to define the three groups. Do not worry about edge cases for the three groups (ie for amounts spent equal to 1000 and 5000).",Long Answer Question,"select a1.CustomerID,a1.CompanyName,a1.total_order_price as Total_Spent,
a1.total_discount_applied as Total_Discount, 
(a1.total_order_price - a1.total_discount_applied) as Total_After_Discount,
case 
when (a1.total_order_price - a1.total_discount_applied) between 0 and 1000 then ""Low""
when (a1.total_order_price - a1.total_discount_applied) between 1000 and 5000 then ""Medium""
when (a1.total_order_price - a1.total_discount_applied) > 5000 then ""High""
END as spending_group
FROM
(
select c.CustomerID,c.CompanyName, 
sum(od.Quantity * od.UnitPrice) as total_order_price,
sum(od.Quantity * od.UnitPrice * od.Discount) as total_discount_applied
from Customers c
LEFT OUTER JOIN Orders o ON c.CustomerID=o.CustomerID and year(o.OrderDate)='2016'
LEFT JOIN OrderDetails od ON o.OrderID=od.OrderID
group by c.CustomerID,c.CompanyName
order by c.CustomerID
)a1;",10.0,ss13871,,"WITH total_spent AS (
SELECT C.CustomerID, C.CompanyName
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice ),0) AS total_price
&#160; &#160; , COALESCE(SUM(D.Quantity * D.UnitPrice * D.Discount ),0) AS total_discount
FROM&#160;
&#160; &#160; Customers C&#160;
&#160; &#160; LEFT JOIN Orders O ON C.CustomerID = O.CustomerID AND YEAR(O.OrderDate) = 2016
&#160; &#160; LEFT JOIN OrderDetails D ON O.OrderID = D.OrderID &#160;
GROUP BY C.CustomerID
)
SELECT T.*,&#160;
&#160; &#160; CASE&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 0 AND 1000 THEN &#39;Low&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount BETWEEN 1000 AND 5000 THEN &#39;Medium&#39;&#160;
&#160; &#160; &#160; &#160; WHEN T.total_price-T.total_discount &gt;= 5000 THEN &#39;High&#39;&#160;
&#160; &#160; END AS TargetGroup
FROM total_spent T
ORDER BY T.total_price-T.total_discount",True,"['northwind', 'flights']",10.0,
2408,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,714","For each customer, we want to calculate how much they spent within 2016.
Show the:

CustomerID and CompanyName for each customer
The total price for their orders, ignoring the discount (use Quantity and UnitPrice fields in the OrderDetails table; the amount paid for each product is Quantity * UnitPrice. )&#160;
the total discount applied to the order (consider the Discount field in the OrderDetails table, together with Quantity and UnitPrice fields; the applied discount is Quantity * UnitPrice * Discount)

Limit the analysis only to orders placed in 2016.
Order the results by CustomerID.
",Long Answer Question,"select c.CustomerID,c.CompanyName, 
sum(od.Quantity * od.UnitPrice) as total_order_price,
sum(od.Quantity * od.UnitPrice * od.Discount) as total_discount_applied
from Customers c
LEFT OUTER JOIN Orders o ON c.CustomerID=o.CustomerID and year(o.OrderDate)='2016'
LEFT JOIN OrderDetails od ON o.OrderID=od.OrderID
group by c.CustomerID,c.CompanyName
order by c.CustomerID;",10.0,ss13871,,"SELECT C.CustomerID, C.CompanyName
    , COALESCE(SUM(D.Quantity * D.UnitPrice ),0) AS total_price
    , COALESCE(SUM(D.Quantity * D.UnitPrice * D.Discount ),0) AS total_discount
FROM 
    Customers C 
    LEFT JOIN Orders O ON C.CustomerID = O.CustomerID AND YEAR(O.OrderDate) = 2016
    LEFT JOIN OrderDetails D ON O.OrderID = D.OrderID  
GROUP BY C.CustomerID
There is no need for the COALESCE part to get full credit.",True,"['northwind', 'flights']",10.0,
2409,"Databases for Business Analytics, Spring'23","251,685",Final Exam,"294,358",1,"4,969,713","For each order, show the customerID who placed the order, and list the number of products in the order, the total units in the order (each order may contain multiple units of a product as reported in the &quot;Quantity&quot; field or OrderDetails), and the total order price for all the products (using the Quantity and UnitPrice fields in the OrderDetails table; ignore the Discount field).&#160;
Sort the results by decreasing total price and display only orders where the total price is above 10,000.",Long Answer Question,"select o.orderID, o.CustomerID, count(od.productID) as num_of_products,
sum(od.Quantity) as total_units, sum( od.Quantity * od.UnitPrice) as total_order_price
from
Orders o
LEFT JOIN OrderDetails od on o.orderID=od.orderID
group by o.orderID, o.CustomerID
having total_order_price>10000
order by total_order_price desc;",7.5,ss13871,,"SELECT O.OrderID, O.CustomerID
&#160; &#160; , SUM(D.Quantity * D.UnitPrice) AS total_price
&#160; &#160; , COUNT(DISTINCT D.ProductID) AS num_products
&#160; &#160; , SUM(D.Quantity) AS total_units
FROM Orders O JOIN OrderDetails D ON O.OrderID = D.OrderID
GROUP BY O.OrderID
HAVING total_price &gt; 10000
ORDER BY total_price DESC",True,"['northwind', 'flights']",10.0,
